LISA表示,証券コード,銘柄名
TRUE,1605,ＩＮＰＥＸ
TRUE,1847,イチケン
TRUE,1879,新日本建設
TRUE,1928,積水ハウス
TRUE,1942,関電工
TRUE,2003,日東富士
TRUE,212A,フィットイージー
TRUE,2768,双日
TRUE,285A,キオクシアＨＤ
TRUE,2914,ＪＴ
TRUE,3496,アズーム
TRUE,4063,信越化
TRUE,4221,大倉工業
TRUE,4413,ボードルア
TRUE,4792,山田コンサルティングＧＰ
TRUE,5803,フジクラ
TRUE,6098,リクルートホールディングス
TRUE,6200,インソース
TRUE,6501,日立
TRUE,6503,三菱電
TRUE,6637,寺崎電気産業
TRUE,6740,ＪＤＩ
TRUE,6920,レーザーテック
TRUE,7003,三井Ｅ＆Ｓ
TRUE,7011,三菱重
TRUE,7068,ＦフォースＧ
TRUE,7187,ジェイリース
TRUE,7236,ティラド
TRUE,7733,オリンパス
TRUE,7741,ＨＯＹＡ
TRUE,8001,伊藤忠
TRUE,8053,住友商
TRUE,8058,三菱商事
TRUE,8136,サンリオ
TRUE,8306,三菱ＵＦＪ
TRUE,8316,三井住友
TRUE,8331,千葉銀行
TRUE,8343,秋田銀
TRUE,8386,百十四銀行
TRUE,8473,ＳＢＩ
TRUE,8541,愛媛銀
TRUE,8591,オリックス
TRUE,8593,三菱ＨＣキャピタル
TRUE,8600,トモニＨＤ
TRUE,8630,ＳＯＭＰＯＨＤ
TRUE,8729,ソニーＦＧ
TRUE,8739,スパークス
TRUE,8766,東京海上
TRUE,8771,Ｅギャランティ
TRUE,8935,ＦＪネクストホールディングス
TRUE,9267,ゲンキードラッグ
TRUE,9432,ＮＴＴ
TRUE,9433,ＫＤＤＩ
TRUE,9434,ソフトバンク
TRUE,9757,船井総研ＨＤ
